problem;trial;r2_train;r2_test;seed;best_model
Nguyen-9;1;1.0;1.0;29802;sin(x) + sin(y**2)
Nguyen-9;2;1.0;1.0;22118;sin(x) + sin(y**2)
Nguyen-9;3;1.0;1.0;860;sin(x) + sin(y**2)
Nguyen-9;4;1.0;1.0;15795;sin(x) + sin(y**2)
Nguyen-9;5;1.0;1.0;21575;sin(x) + sin(y**2)
Nguyen-9;6;1.0;1.0;5390;sin(x) + sin(y**2)
Nguyen-9;7;1.0;1.0;11964;sin(x) + sin(y**2)
Nguyen-9;8;1.0;1.0;6265;sin(x) + sin(y**2)
Nguyen-9;9;1.0;1.0;23654;sin(x) + sin(y**2)
Nguyen-9;10;1.0;1.0;11284;sin(x) + sin(y**2)
